id,brand,name,category,product_type,price,currency,tag_list,rating
374,physicians formula,Physicians Formula Mineral Wear Talc-Free All-In-One ABC Cushion Foundation,mineral,foundation,20.49,,"['Gluten Free', 'Natural']",4.0
373,nyx,NYX Mineral Stick Foundation,mineral,foundation,11.99,,[],5.0
372,nyx,NYX Stay Matte But Not Flat Powder Foundation,mineral,foundation,10.99,,[],
371,milani,Milani Cream-To-Powder Makeup,cream,foundation,10.99,,[],4.4
370,physicians formula,Physicians Formula Mineral Wear Flawless Complexion Kit ,powder,blush,29.99,,['Gluten Free'],4.8
369,physicians formula,Physicians Formula Mineral Wear Correcting Kit ,mineral,foundation,29.99,,['Gluten Free'],4.7
368,physicians formula,Physicians Formula Mineral Wear Airbrushing Pressed Powder ,mineral,foundation,19.99,,['Gluten Free'],4.7
367,pure anada,Pure Anada Pressed Sheer Matte Foundation Pan,mineral,foundation,19.0,,"['Canadian', 'Natural']",4.3
366,maybelline,Maybelline Mineral Power Natural Perfecting Powder Foundation,mineral,foundation,14.99,,[],3.9
365,physicians formula,Physicians Formula Mineral Wear Airbrushing Loose Powder ,mineral,foundation,14.99,,['Gluten Free'],4.6
364,pure anada,Pure Anada Loose Mineral Foundation ,mineral,foundation,12.0,,"['Canadian', 'Natural']",3.9
362,covergirl,CoverGirl Outlast Stay Luminous Foundation Creamy Natural (820) ,liquid,foundation,12.49,,[],
356,mineral fusion,Mineral Fusion Liquid Foundation,liquid,foundation,37.0,,"['Gluten Free', 'Natural']",4.0
354,maybelline,Maybelline Dream Velvet Foundation,cream,foundation,18.49,,[],2.5
353,maybelline,Maybelline Superstay Better Skin Foundation ,liquid,foundation,14.99,,[],3.0
352,nyx,NYX Stay Matte But Not Flat Liquid Foundation,liquid,foundation,10.99,,[],4.0
350,l'oreal,L'Oreal Paris True Match Lumi Glow Liquid Foundation,liquid,foundation,16.99,,[],3.0
349,covergirl,"CoverGirl Ready, Set Gorgeous Liquid Makeup 105",liquid,foundation,8.99,,[],2.0
348,covergirl,CoverGirl Outlast Stay Fabulous 3-in-1 Foundation,liquid,foundation,12.49,,[],
347,,DaLish Silk to Matte Foundation,liquid,foundation,44.0,,"['Canadian', 'Natural']",4.0
345,l'oreal,L'Oreal Paris Visible Lift Blur Foundation ,liquid,foundation,18.99,,[],
344,covergirl,CoverGirl Clean Liquid Makeup Normal Skin ,liquid,foundation,9.49,,[],5.0
343,cargo cosmetics,Cargo Cosmetics Liquid Foundation,liquid,foundation,42.0,,[],
342,covergirl,CoverGirl Smoothers All-Day Hydrating Makeup ,liquid,foundation,8.99,,[],
341,covergirl,CoverGirl Clean Oil Control Makeup ,liquid,foundation,9.49,,[],4.0
340,physicians formula,Physicians Formula Nude Wear Touch of Glow Foundation,liquid,foundation,18.49,,['Gluten Free'],4.5
339,maybelline,Maybelline Dream Wonder Liquid Touch Foundation,liquid,foundation,14.99,,[],
338,covergirl,CoverGirl Advanced Radiance Age Defying Liquid Makeup ,liquid,foundation,12.49,,[],5.0
337,revlon,Revlon Photoready Airbrush Effect Makeup,liquid,foundation,19.99,,[],
336,revlon,Revlon Age Defying Firming + Lifting Makeup,liquid,foundation,19.99,,[],4.5
335,l'oreal,L'Oreal Paris True Match Lumi Cushion Foundation,liquid,foundation,26.99,,[],4.0
334,cargo cosmetics,Cargo Cosmetics OneBase for Face,liquid,foundation,28.0,,[],5.0
